-30	-inf
-29.99	-inf
-29.98	-inf
-29.97	-inf
-29.96	-inf
-29.95	-inf
-29.94	-inf
-29.93	-inf
-29.92	-inf
-29.91	-inf
-29.9	-inf
-29.89	-inf
-29.88	-inf
-29.87	-inf
-29.86	-inf
-29.85	-inf
-29.84	-inf
-29.83	-inf
-29.82	-inf
-29.81	-inf
-29.8	-inf
-29.79	-inf
-29.78	-inf
-29.77	-inf
-29.76	-inf
-29.75	-inf
-29.74	-inf
-29.73	-inf
-29.72	-inf
-29.71	-inf
-29.7	-inf
-29.69	-inf
-29.68	-inf
-29.67	-inf
-29.66	-inf
-29.65	-inf
-29.64	-inf
-29.63	-inf
-29.62	-inf
-29.61	-inf
-29.6	-inf
-29.59	-inf
-29.58	-inf
-29.57	-inf
-29.56	-inf
-29.55	-inf
-29.54	-inf
-29.53	-inf
-29.52	-inf
-29.51	-inf
-29.5	-inf
-29.49	-inf
-29.48	-inf
-29.47	-inf
-29.46	-inf
-29.45	-inf
-29.44	-inf
-29.43	-inf
-29.42	-inf
-29.41	-inf
-29.4	-inf
-29.39	-inf
-29.38	-inf
-29.37	-inf
-29.36	-inf
-29.35	-inf
-29.34	-inf
-29.33	-inf
-29.32	-inf
-29.31	-inf
-29.3	-inf
-29.29	-inf
-29.28	-inf
-29.27	-inf
-29.26	-inf
-29.25	-inf
-29.24	-inf
-29.23	-inf
-29.22	-inf
-29.21	-inf
-29.2	-inf
-29.19	-inf
-29.18	-inf
-29.17	-inf
-29.16	-inf
-29.15	-inf
-29.14	-inf
-29.13	-inf
-29.12	-inf
-29.11	-inf
-29.1	-inf
-29.09	-inf
-29.08	-inf
-29.07	-inf
-29.06	-inf
-29.05	-inf
-29.04	-inf
-29.03	-inf
-29.02	-inf
-29.01	-inf
-29	-inf
-28.99	-inf
-28.98	-inf
-28.97	-inf
-28.96	-inf
-28.95	-inf
-28.94	-inf
-28.93	-inf
-28.92	-inf
-28.91	-inf
-28.9	-inf
-28.89	-inf
-28.88	-inf
-28.87	-inf
-28.86	-inf
-28.85	-inf
-28.84	-inf
-28.83	-inf
-28.82	-inf
-28.81	-inf
-28.8	-inf
-28.79	-inf
-28.78	-inf
-28.77	-inf
-28.76	-inf
-28.75	-inf
-28.74	-inf
-28.73	-inf
-28.72	-inf
-28.71	-inf
-28.7	-inf
-28.69	-inf
-28.68	-inf
-28.67	-inf
-28.66	-inf
-28.65	-inf
-28.64	-inf
-28.63	-inf
-28.62	-inf
-28.61	-inf
-28.6	-inf
-28.59	-inf
-28.58	-inf
-28.57	-inf
-28.56	-inf
-28.55	-inf
-28.54	-inf
-28.53	-inf
-28.52	-inf
-28.51	-inf
-28.5	-inf
-28.49	-inf
-28.48	-inf
-28.47	-inf
-28.46	-inf
-28.45	-inf
-28.44	-inf
-28.43	-inf
-28.42	-inf
-28.41	-inf
-28.4	-inf
-28.39	-inf
